date,NAO,year,month
2015-06-01,0.24,2015,6
2015-07-01,-3.14,2015,7
2015-08-01,-1.1,2015,8
2015-09-01,-0.49,2015,9
2015-10-01,0.99,2015,10
2015-11-01,1.7,2015,11
2015-12-01,1.99,2015,12
2016-01-01,-0.37,2016,1
2016-02-01,1.35,2016,2
2016-03-01,0.37,2016,3
2016-04-01,0.26,2016,4
2016-05-01,-0.67,2016,5
2016-06-01,-0.13,2016,6
2016-07-01,-1.72,2016,7
2016-08-01,-2.24,2016,8
2016-09-01,0.74,2016,9
2016-10-01,0.96,2016,10
2016-11-01,-0.31,2016,11
2016-12-01,0.35,2016,12
2017-01-01,0.05,2017,1
2017-02-01,0.69,2017,2
2017-03-01,0.37,2017,3
2017-04-01,1.74,2017,4
2017-05-01,-1.72,2017,5
2017-06-01,0.35,2017,6
2017-07-01,1.28,2017,7
2017-08-01,-1.53,2017,8
2017-09-01,-0.45,2017,9
2017-10-01,0.71,2017,10
2017-11-01,-0.14,2017,11
2017-12-01,0.73,2017,12
2018-01-01,1.17,2018,1
2018-02-01,1.34,2018,2
2018-03-01,-1.38,2018,3
2018-04-01,1.2,2018,4
2018-05-01,2.02,2018,5
2018-06-01,1.41,2018,6
2018-07-01,1.42,2018,7
2018-08-01,2.4,2018,8
2018-09-01,1.78,2018,9
2018-10-01,1.53,2018,10
2018-11-01,-0.25,2018,11
2018-12-01,0.48,2018,12
2019-01-01,0.18,2019,1
2019-02-01,-0.11,2019,2
2019-03-01,0.89,2019,3
2019-04-01,0.36,2019,4
2019-05-01,-2.38,2019,5
2019-06-01,-0.79,2019,6
2019-07-01,-1.39,2019,7
2019-08-01,-1.62,2019,8
2019-09-01,-0.01,2019,9
2019-10-01,-1.03,2019,10
2019-11-01,0.16,2019,11
2019-12-01,1.02,2019,12
2020-01-01,1.05,2020,1
2020-02-01,0.98,2020,2
2020-03-01,0.66,2020,3
2020-04-01,-1.26,2020,4
2020-05-01,-0.33,2020,5
2020-06-01,0.16,2020,6
2020-07-01,-1.19,2020,7
2020-08-01,0.03,2020,8
2020-09-01,1.11,2020,9
2020-10-01,-0.2,2020,10
2020-11-01,2.54,2020,11
2020-12-01,-0.37,2020,12
2021-01-01,-1.8,2021,1
2021-02-01,-0.29,2021,2
2021-03-01,0.36,2021,3
2021-04-01,-1.69,2021,4
2021-05-01,-1.1,2021,5
2021-06-01,1.08,2021,6
2021-07-01,0.06,2021,7
2021-08-01,-0.49,2021,8
2021-09-01,-0.06,2021,9
2021-10-01,-1.98,2021,10
2021-11-01,-0.33,2021,11
2021-12-01,0.18,2021,12
2022-01-01,0.74,2022,1
2022-02-01,1.46,2022,2
2022-03-01,0.4,2022,3
2022-04-01,-0.54,2022,4
2022-05-01,0.71,2022,5
2022-06-01,0.19,2022,6
2022-07-01,-0.06,2022,7
2022-08-01,1.76,2022,8
2022-09-01,-1.42,2022,9
2022-10-01,-0.27,2022,10
2022-11-01,0.59,2022,11
2022-12-01,-0.22,2022,12
2023-01-01,0.95,2023,1
2023-02-01,0.6,2023,2
2023-03-01,-1.57,2023,3
2023-04-01,-0.83,2023,4
2023-05-01,0.41,2023,5
2023-06-01,-0.28,2023,6
2023-07-01,-2.14,2023,7
2023-08-01,-1.62,2023,8
2023-09-01,-0.28,2023,9
2023-10-01,-1.7,2023,10
2023-11-01,-0.47,2023,11
2023-12-01,1.7,2023,12
2024-01-01,-0.27,2024,1
2024-02-01,0.79,2024,2
2024-03-01,-0.63,2024,3
2024-04-01,-0.99,2024,4
2024-05-01,-0.36,2024,5
2024-06-01,0.22,2024,6
2024-07-01,1.48,2024,7
2024-08-01,0.69,2024,8
2024-09-01,-1.25,2024,9
2024-10-01,0.1,2024,10
2024-11-01,-0.38,2024,11
2024-12-01,1.03,2024,12
